,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,haines junction,36,CA,1547941646,84,60.75,-137.51,250.807,1.07
88,rio gallegos,40,AR,1547938800,32,-51.62,-69.22,293.15,10.3
89,banjar,48,ID,1547941647,95,-7.37,108.54,296.757,1.07
90,broken hill,32,AU,1547938800,22,-31.97,141.45,299.15,7.2
91,isangel,92,VU,1547941648,100,-19.55,169.27,298.807,7.87
92,radomsko,0,PL,1547941648,78,51.07,19.44,261.282,1.97
93,sooke,75,CA,1547939400,78,48.37,-123.73,282.55,3.1
94,champerico,20,MX,1547937960,23,16.38,-93.6,307.15,6.7
95,chara,75,GR,1547938200,87,39.42,22.43,280.15,1.32
96,nioro,12,GM,1547941649,36,13.79,-15.05,292.807,4.67
97,pevek,44,RU,1547941649,100,69.7,170.27,243.557,2.97
98,maceio,40,BR,1547938800,88,-9.67,-35.74,298.15,1.5
99,san cristobal,40,EC,1547938800,59,-0.39,-78.55,292.15,4.1
100,pangnirtung,12,CA,1547941650,61,66.15,-65.72,236.357,1.57
101,banda aceh,24,ID,1547941650,98,5.56,95.32,297.007,2.22
102,qaanaaq,0,GL,1547941650,100,77.48,-69.36,240.982,4.67
103,katobu,80,ID,1547941651,100,-4.94,122.53,300.657,1.42
104,tessalit,0,ML,1547941651,22,20.2,1.01,281.207,4.22
105,beringovskiy,92,RU,1547941651,100,63.05,179.32,256.632,2.97
106,hilo,1,US,1547938380,62,19.71,-155.08,299.85,3.6
107,plaistow,24,GB,1547940000,95,51.53,0.02,276.15,2.1
108,mar del plata,0,AR,1547941457,24,-46.43,-67.52,301.632,9.07
109,komsomolskiy,80,RU,1547941653,89,67.55,63.78,263.207,5.02
110,lazi,0,HR,1547938800,59,45.57,14.64,276.15,5.1
111,tabuk,8,PH,1547941653,95,17.41,121.44,290.382,0.22
112,codrington,75,AU,1547938800,61,-28.95,153.24,302.15,2.6
113,teahupoo,40,PF,1547940600,62,-17.83,-149.27,305.15,5.7
114,dingle,92,PH,1547941654,99,11.0,122.67,296.007,4.07
115,katsuura,75,JP,1547938800,81,33.93,134.5,279.15,2.6
116,saint-augustin,75,FR,1547938800,100,44.83,-0.61,279.15,3.1
117,santa maria,92,BR,1547941484,97,-29.69,-53.81,292.132,6.02
118,masty,80,BY,1547941657,87,53.42,24.54,270.107,5.17
119,bethel,90,US,1547940540,92,60.79,-161.76,262.15,1.5
120,bontang,0,ID,1547941659,97,0.12,117.47,300.732,3.42
121,carnarvon,0,ZA,1547941659,38,-30.97,22.13,284.607,5.57
122,lompoc,1,US,1547939700,56,34.64,-120.46,295.35,4.6
123,kloulklubed,75,PW,1547938200,83,7.04,134.26,301.15,4.6
124,la asuncion,68,EC,1547941660,84,-1.64,-78.74,282.157,0.72
125,miramar,0,CR,1547938800,54,10.09,-84.73,299.15,4.6
126,souillac,90,FR,1547938800,93,45.6,-0.6,280.15,1.52
127,ahipara,80,NZ,1547941661,78,-35.17,173.16,296.007,4.47
128,vao,68,EE,1547941662,85,59.1,26.19,269.607,7.22
129,ewo,24,CG,1547941662,87,-0.88,14.81,295.407,2.12
130,viedma,0,AR,1547941663,19,-40.81,-62.99,301.507,6.92
131,ranot,80,TH,1547941663,82,7.78,100.32,299.532,4.97
132,sitka,0,US,1547941663,64,37.17,-99.65,269.907,3.22
133,eruwa,20,NG,1547941664,64,7.53,3.42,299.482,4.27
134,yeppoon,90,AU,1547940600,61,-23.13,150.74,301.15,4.6
135,cabinda,76,AO,1547941664,100,-5.56,12.19,300.482,2.02
136,iqaluit,75,CA,1547938800,68,63.75,-68.52,244.15,4.1
137,sangmelima,0,CM,1547941665,95,2.93,11.98,293.707,1.22
138,kirakira,68,SB,1547941665,100,-10.46,161.92,301.757,2.32
139,presidencia roque saenz pena,0,AR,1547941665,84,-26.79,-60.44,293.507,3.37
140,tiarei,40,PF,1547940600,62,-17.53,-149.33,305.15,5.7
141,saint-leu,0,RE,1547940600,65,-21.15,55.28,299.15,2.1
142,rincon,1,US,1547939700,58,32.3,-81.24,293.75,1.5
143,farnham,40,GB,1547940000,94,51.22,-0.8,277.15,1.0
144,peringat,75,MY,1547938800,83,5.99,102.3,299.15,2.6
145,palmerston,90,CA,1547939940,77,43.83,-80.85,259.15,6.2
146,kesinga,0,IN,1547941667,79,20.19,83.22,282.007,1.12
147,augusto correa,44,BR,1547941668,93,-1.02,-46.63,297.757,2.07
148,mandalgovi,0,MN,1547941668,79,45.76,106.27,253.157,5.37
149,buraydah,0,SA,1547938800,75,26.33,43.97,281.15,3.6
150,tual,80,ID,1547941669,100,-5.67,132.75,299.707,6.47
151,te anau,80,NZ,1547941660,81,-45.41,167.72,284.657,7.37
152,olenino,0,RU,1547941669,88,56.21,33.48,266.132,6.52
153,tarko-sale,8,RU,1547941669,68,64.92,77.78,252.632,1.37
154,payo,36,ID,1547941670,85,-3.75,103.64,297.632,2.42
155,beloha,32,MG,1547941384,89,-25.17,45.06,297.282,1.37
156,egvekinot,12,RU,1547941670,41,66.32,-179.17,240.282,1.32
157,calella,0,ES,1547938800,100,41.62,2.67,280.15,2.1
158,pio xii,80,BR,1547941671,92,-3.89,-45.17,298.407,2.22
159,polewali,32,ID,1547941671,97,-4.03,119.8,298.882,2.07
160,dongsheng,56,CN,1547941672,92,29.72,112.52,274.482,4.12
161,bambous virieux,75,MU,1547938800,94,-20.34,57.76,298.15,1.5
162,mount gambier,40,AU,1547938800,68,-37.83,140.78,294.15,4.1
163,gladstone,40,AU,1547940600,51,-23.84,151.26,302.15,6.7
164,lakes entrance,0,AU,1547941673,84,-37.88,147.99,294.032,1.77
165,neiafu,90,TO,1547938800,94,-18.65,-173.98,298.15,2.6
166,esperance,20,TT,1547938800,78,10.24,-61.45,298.15,2.1
167,muzaffarpur,0,IN,1547938800,87,26.12,85.39,284.15,1.0
168,east london,92,ZA,1547941475,100,-33.02,27.91,291.357,6.32
169,kavieng,100,PG,1547941675,100,-2.57,150.8,298.732,4.47
170,upernavik,24,GL,1547941675,100,72.79,-56.15,250.857,3.67
171,provideniya,76,RU,1547941675,100,64.42,-173.23,263.532,1.42
172,pisco,0,PE,1547938800,30,-13.71,-76.2,295.15,6.2
173,shimoda,75,JP,1547938800,40,34.7,138.93,285.15,5.1
174,macomer,40,IT,1547940000,100,40.26,8.77,279.15,1.0
175,ulladulla,90,AU,1547938800,83,-35.36,150.48,294.15,1.37
176,batemans bay,0,AU,1547941677,82,-35.71,150.18,296.207,1.77
177,verkhnyaya inta,56,RU,1547941677,66,65.99,60.32,256.732,1.07
178,magaria,12,NE,1547941677,63,13.0,8.91,289.132,1.22
179,port macquarie,90,AU,1547938800,83,-31.43,152.91,299.15,3.1
180,hithadhoo,80,MV,1547941678,100,-0.6,73.08,299.457,2.52
181,erice,40,IT,1547940000,76,38.04,12.59,284.15,2.1
182,hobart,75,AU,1547938800,43,-42.88,147.33,295.15,4.6
183,hounde,0,BF,1547941679,32,11.5,-3.52,292.857,3.87
184,barrow,0,AR,1547941679,51,-38.31,-60.23,295.532,6.37
185,sambava,100,MG,1547941679,100,-14.27,50.17,297.282,6.92
186,los llanos de aridane,44,ES,1547938800,67,28.66,-17.92,290.15,4.6
187,camabatela,80,AO,1547941680,94,-8.19,15.37,291.407,1.17
188,tungor,0,RU,1547941680,84,53.39,142.95,254.057,7.82
189,srednekolymsk,0,RU,1547941681,83,67.46,153.71,233.657,1.07
190,leningradskiy,24,RU,1547941681,97,69.38,178.42,250.857,8.57
191,ponta do sol,36,BR,1547941665,86,-20.63,-46.0,294.857,1.32
192,kruisfontein,0,ZA,1547941682,89,-34.0,24.73,288.632,3.22
193,sur,0,OM,1547941682,100,22.57,59.53,294.407,4.02
194,fairlie,90,US,1547940900,74,33.31,-95.96,276.35,6.7
195,arraial do cabo,36,BR,1547941683,87,-22.97,-42.02,299.632,9.42
196,elko,90,US,1547938560,67,40.83,-115.76,282.05,3.6
197,yakeshi,48,CN,1547941684,78,49.28,120.73,252.207,3.87
198,uvinza,56,TZ,1547941684,96,-5.1,30.39,289.607,0.72
199,vilkaviskis,64,LT,1547941684,92,54.65,23.03,270.282,7.17
200,dunedin,0,NZ,1547941685,55,-45.87,170.5,290.507,8.82
201,berlevag,44,NO,1547941445,100,70.86,29.09,264.857,4.67
202,zhezkazgan,92,KZ,1547941685,96,47.8,67.71,273.382,3.22
203,lebu,0,ET,1547941685,81,8.96,38.73,276.307,1.12
204,luderitz,0,NA,1547941686,53,-26.65,15.16,291.207,9.52
205,seryshevo,44,RU,1547941686,65,51.09,128.38,250.507,3.47
206,priverno,40,IT,1547940000,81,41.47,13.18,280.15,3.1
207,calnali,32,MX,1547941687,73,20.9,-98.58,289.807,0.92
208,abha,0,SA,1547938800,81,18.22,42.5,285.15,2.1
209,jinchang,80,CN,1547941687,85,38.52,102.19,262.057,1.17
210,port hedland,0,AU,1547940600,66,-20.31,118.58,306.15,4.1
211,mitchell,90,US,1547938380,58,43.71,-98.03,255.95,1.5
212,micheweni,0,TZ,1547941688,100,-4.97,39.83,300.782,6.07
213,muros,75,ES,1547938800,100,42.77,-9.06,282.15,3.1
214,thompson,5,CA,1547938800,67,55.74,-97.86,241.15,2.1
215,kailua,90,US,1547939700,71,21.39,-157.74,300.95,3.6
216,tiznit,0,MA,1547941690,98,29.7,-9.73,284.107,0.42
217,ayan,56,TR,1547941690,90,40.67,33.6,264.382,0.62
218,tegh,8,AZ,1547941690,62,39.56,46.48,254.807,1.32
219,west wendover,1,US,1547938560,73,40.74,-114.07,277.55,4.1
220,farafangana,48,MG,1547941691,100,-22.82,47.83,298.882,4.27
221,tommot,24,RU,1547941399,41,58.97,126.27,239.782,1.37
222,road town,40,VG,1547938800,69,18.42,-64.62,298.75,3.6
223,padang,76,ID,1547941691,100,-0.92,100.36,298.557,2.32
224,airai,32,TL,1547941692,87,-8.93,125.41,297.282,0.67
225,poum,100,MK,1547941692,100,41.28,20.71,274.307,0.97
226,cravo norte,100,CO,1547941692,40,6.3,-70.2,305.407,3.42
227,lake city,1,US,1547938500,60,38.03,-107.32,273.15,4.1
228,shingu,75,JP,1547938800,71,33.72,135.99,285.15,1.5
229,lagos,0,NG,1547938800,78,6.46,3.39,301.15,1.0
230,thiruvananthapuram,20,IN,1547940600,83,8.48,76.92,298.15,1.42
231,obera,92,AR,1547941694,85,-27.49,-55.12,294.757,2.12
232,antalaha,92,MG,1547941694,100,-14.9,50.28,297.407,2.52
233,goderich,44,CA,1547941695,99,43.74,-81.71,261.132,6.97
234,port hardy,75,CA,1547938800,81,50.7,-127.42,280.15,1.5
235,vostok,48,RU,1547941695,76,46.45,135.83,252.707,1.17
236,jutai,92,BR,1547941696,100,-1.71,-47.89,295.907,1.12
237,alabaster,90,US,1547940900,100,33.24,-86.82,287.55,2.6
238,warrnambool,64,AU,1547941696,96,-38.38,142.48,291.757,2.87
239,parana,75,BR,1547938800,94,-7.52,-72.89,299.15,0.97
240,zhigansk,56,RU,1547941697,42,66.77,123.37,240.407,5.12
241,rio brilhante,36,BR,1547941697,83,-21.8,-54.54,298.782,1.32
242,tigzirt,0,DZ,1547941697,100,36.57,4.2,275.482,1.32
243,aitape,92,PG,1547941698,100,-3.15,142.36,298.957,1.57
244,dahod,0,IN,1547941698,60,22.84,74.26,285.232,2.77
245,hasaki,75,JP,1547940600,64,35.73,140.83,275.15,1.5
246,college,90,US,1547940360,84,64.86,-147.8,256.45,1.42
247,abay,0,KZ,1547940600,79,49.63,72.87,269.15,6.0
248,semey,56,KZ,1547941402,75,50.41,80.25,268.482,5.02
249,alekseyevka,90,RU,1547940600,92,53.25,50.49,271.15,4.0
250,makakilo city,90,US,1547939700,71,21.35,-158.09,300.95,3.6
251,westport,44,IE,1547941535,100,53.8,-9.52,277.982,1.52
252,abalak,8,NE,1547941700,61,15.46,6.28,289.307,1.57
253,nemuro,75,JP,1547940600,72,43.32,145.57,264.15,1.5
254,saldanha,100,PT,1547941701,96,41.42,-6.55,279.907,3.17
255,vanavara,44,RU,1547941701,79,60.35,102.28,263.707,3.67
256,atar,0,MR,1547941667,45,20.52,-13.05,283.457,3.17
257,willowmore,0,ZA,1547941702,88,-33.3,23.49,275.907,0.77
258,bubaque,0,GW,1547941702,98,11.28,-15.83,298.807,5.87
259,gravdal,88,NO,1547940000,100,59.79,5.78,274.15,4.1
260,urucara,64,BR,1547941702,87,-2.54,-57.76,299.257,1.17
261,mountain home,90,US,1547938680,99,43.13,-115.69,279.25,7.2
262,itaituba,76,BR,1547941703,100,-4.26,-55.99,296.257,0.77
263,medicine hat,40,CA,1547938800,73,50.04,-110.68,269.15,5.1
264,fortuna,75,ES,1547938800,87,38.18,-1.13,282.15,1.0
265,tabou,76,CI,1547941704,100,4.42,-7.36,301.232,3.22
266,borogontsy,56,RU,1547941704,89,62.67,131.17,232.757,2.02
267,amuntai,64,ID,1547941705,97,-2.42,115.25,297.132,1.17
